date,service,plan,cloud,price_usd_hour,node_count,node_cpu,node_ram_mb,disk_mb
2026-08-15,kafka,business-16,aws-eu-west-1,3.836,3,4,16384,2457600
2026-08-15,kafka,business-16,aws-us-east-1,3.425,3,4,16384,2457600
2026-08-15,kafka,business-16,azure-eastus,3.425,3,4,16384,2457600
2026-08-15,kafka,business-16,azure-eastus2,2.877,3,4,16384,2457600
2026-08-15,kafka,business-16,azure-westeurope,3.836,3,4,16384,2457600
2026-08-15,kafka,business-16,do-nyc,2.603,3,8,16384,2457600
2026-08-15,kafka,business-16,google-europe-west1,2.603,3,4,16384,2457600
2026-08-15,kafka,business-16,google-europe-west10,6.16438,3,4,16384,2457600
2026-08-15,kafka,business-16,google-europe-west12,3.42466,3,4,16384,2457600
2026-08-15,kafka,business-16,google-us-east4,2.877,3,4,16384,2457600
2026-08-15,kafka,business-8,aws-eu-west-1,1.986,3,2,8192,1228800
2026-08-15,kafka,business-8,aws-us-east-1,1.781,3,2,8192,1228800
2026-08-15,kafka,business-8,azure-eastus,1.781,3,2,8192,1228800
2026-08-15,kafka,business-8,azure-eastus2,1.507,3,2,8192,1228800
2026-08-15,kafka,business-8,azure-westeurope,1.986,3,2,8192,1228800
2026-08-15,kafka,business-8,do-nyc,1.370,3,4,8192,1228800
2026-08-15,kafka,business-8,google-europe-west1,1.370,3,2,8192,1228800
2026-08-15,kafka,business-8,google-europe-west10,3.15068,3,2,8192,1228800
2026-08-15,kafka,business-8,google-europe-west12,1.78082,3,2,8192,1228800
2026-08-15,kafka,business-8,google-us-east4,1.507,3,2,8192,1228800
2026-08-15,kafka,startup-2,aws-eu-west-1,0.397,3,2,2048,92160
2026-08-15,kafka,startup-2,aws-us-east-1,0.363,3,2,2048,92160
2026-08-15,kafka,startup-2,azure-eastus,0.295,3,1,2048,92160
2026-08-15,kafka,startup-2,azure-eastus2,0.274,3,1,2048,92160
2026-08-15,kafka,startup-2,azure-westeurope,0.295,3,1,2048,92160
2026-08-15,kafka,startup-2,do-nyc,0.274,3,2,2048,92160
2026-08-15,kafka,startup-2,google-europe-west1,0.274,3,1,2048,92160
2026-08-15,kafka,startup-2,google-europe-west10,0.50685,3,1,2048,92160
2026-08-15,kafka,startup-2,google-europe-west12,0.36301,3,1,2048,92160
2026-08-15,kafka,startup-2,google-us-east4,0.301,3,1,2048,92160
2026-08-15,kafka,startup-4,aws-eu-west-1,0.397,3,2,4096,92160
2026-08-15,kafka,startup-4,aws-us-east-1,0.363,3,2,4096,92160
2026-08-15,kafka,startup-4,azure-eastus,0.295,3,1,3584,92160
2026-08-15,kafka,startup-4,azure-eastus2,0.274,3,1,3584,92160
2026-08-15,kafka,startup-4,azure-westeurope,0.295,3,1,3584,92160
2026-08-15,kafka,startup-4,do-nyc,0.274,3,2,4096,92160
2026-08-15,kafka,startup-4,google-europe-west1,0.274,3,1,4096,92160
2026-08-15,kafka,startup-4,google-europe-west10,0.50685,3,1,4096,92160
2026-08-15,kafka,startup-4,google-europe-west12,0.36301,3,1,4096,92160
2026-08-15,kafka,startup-4,google-us-east4,0.301,3,1,4096,92160
2026-08-15,mysql,business-16,aws-eu-west-1,1.000,2,4,16384,358400
2026-08-15,mysql,business-16,aws-us-east-1,0.973,2,4,16384,358400
2026-08-15,mysql,business-16,azure-eastus,1.438,2,4,16384,358400
2026-08-15,mysql,business-16,azure-eastus2,1.438,2,4,16384,358400
2026-08-15,mysql,business-16,azure-westeurope,1.432,2,4,16384,358400
2026-08-15,mysql,business-16,do-nyc,0.877,2,6,16384,358400
2026-08-15,mysql,business-16,google-europe-west1,1.096,2,4,16384,358400
2026-08-15,mysql,business-16,google-europe-west10,1.57534,2,4,16384,358400
2026-08-15,mysql,business-16,google-europe-west12,1.23288,2,4,16384,358400
2026-08-15,mysql,business-16,google-us-east4,1.205,2,4,16384,358400
2026-08-15,mysql,business-8,aws-eu-west-1,0.651,2,2,8192,179200
2026-08-15,mysql,business-8,aws-us-east-1,0.610,2,2,8192,179200
2026-08-15,mysql,business-8,azure-eastus,0.719,2,2,8192,179200
2026-08-15,mysql,business-8,azure-eastus2,0.719,2,2,8192,179200
2026-08-15,mysql,business-8,azure-westeurope,0.719,2,2,8192,179200
2026-08-15,mysql,business-8,do-nyc,0.479,2,4,8192,179200
2026-08-15,mysql,business-8,google-europe-west1,0.548,2,2,8192,179200
2026-08-15,mysql,business-8,google-europe-west10,0.97260,2,2,8192,179200
2026-08-15,mysql,business-8,google-europe-west12,0.61644,2,2,8192,179200
2026-08-15,mysql,business-8,google-us-east4,0.603,2,2,8192,179200
2026-08-15,mysql,hobbyist,do-nyc,0.026,1,1,1024,8192
2026-08-15,mysql,hobbyist,google-europe-west1,0.026,1,1,2048,8192
2026-08-15,mysql,hobbyist,google-europe-west10,0.04795,1,1,2048,8192
2026-08-15,mysql,hobbyist,google-europe-west12,0.03425,1,1,2048,8192
2026-08-15,mysql,hobbyist,google-us-east4,0.034,1,1,2048,8192
2026-08-15,mysql,premium-16,aws-eu-west-1,1.562,3,4,16384,358400
2026-08-15,mysql,premium-16,aws-us-east-1,1.452,3,4,16384,358400
2026-08-15,mysql,premium-16,azure-eastus,2.171,3,4,16384,358400
2026-08-15,mysql,premium-16,azure-eastus2,2.171,3,4,16384,358400
2026-08-15,mysql,premium-16,azure-westeurope,2.212,3,4,16384,358400
2026-08-15,mysql,premium-16,do-nyc,1.315,3,6,16384,358400
2026-08-15,mysql,premium-16,google-europe-west1,1.644,3,4,16384,358400
2026-08-15,mysql,premium-16,google-europe-west10,2.60274,3,4,16384,358400
2026-08-15,mysql,premium-16,google-europe-west12,1.91781,3,4,16384,358400
2026-08-15,mysql,premium-16,google-us-east4,1.808,3,4,16384,358400
2026-08-15,mysql,premium-8,aws-eu-west-1,1.027,3,2,8192,179200
2026-08-15,mysql,premium-8,aws-us-east-1,0.945,3,2,8192,179200
2026-08-15,mysql,premium-8,azure-eastus,1.082,3,2,8192,179200
2026-08-15,mysql,premium-8,azure-eastus2,1.082,3,2,8192,179200
2026-08-15,mysql,premium-8,azure-westeurope,1.116,3,2,8192,179200
2026-08-15,mysql,premium-8,do-nyc,0.719,3,4,8192,179200
2026-08-15,mysql,premium-8,google-europe-west1,0.822,3,2,8192,179200
2026-08-15,mysql,premium-8,google-europe-west10,1.57534,3,2,8192,179200
2026-08-15,mysql,premium-8,google-europe-west12,0.97945,3,2,8192,179200
2026-08-15,mysql,premium-8,google-us-east4,0.904,3,2,8192,179200
2026-08-15,mysql,startup-16,aws-eu-west-1,0.425,1,4,16384,358400
2026-08-15,mysql,startup-16,aws-us-east-1,0.425,1,4,16384,358400
2026-08-15,mysql,startup-16,azure-eastus,0.541,1,4,16384,358400
2026-08-15,mysql,startup-16,azure-eastus2,0.541,1,4,16384,358400
2026-08-15,mysql,startup-16,azure-westeurope,0.610,1,4,16384,358400
2026-08-15,mysql,startup-16,do-nyc,0.342,1,6,16384,358400
2026-08-15,mysql,startup-16,google-europe-west1,0.411,1,4,16384,358400
2026-08-15,mysql,startup-16,google-europe-west10,0.67123,1,4,16384,358400
2026-08-15,mysql,startup-16,google-europe-west12,0.54110,1,4,16384,358400
2026-08-15,mysql,startup-16,google-us-east4,0.452,1,4,16384,358400
2026-08-15,mysql,startup-4,aws-eu-west-1,0.151,1,2,4096,81920
2026-08-15,mysql,startup-4,aws-us-east-1,0.136,1,2,4096,81920
2026-08-15,mysql,startup-4,azure-eastus,0.136,1,1,3584,81920
2026-08-15,mysql,startup-4,azure-eastus2,0.136,1,1,3584,81920
2026-08-15,mysql,startup-4,azure-westeurope,0.158,1,1,3584,81920
2026-08-15,mysql,startup-4,do-nyc,0.103,1,2,4096,81920
2026-08-15,mysql,startup-4,google-europe-west1,0.103,1,1,4096,81920
2026-08-15,mysql,startup-4,google-europe-west10,0.19178,1,1,4096,81920
2026-08-15,mysql,startup-4,google-europe-west12,0.13562,1,1,4096,81920
2026-08-15,mysql,startup-4,google-us-east4,0.116,1,1,4096,81920
2026-08-15,mysql,startup-8,aws-eu-west-1,0.308,1,2,8192,179200
2026-08-15,mysql,startup-8,aws-us-east-1,0.267,1,2,8192,179200
2026-08-15,mysql,startup-8,azure-eastus,0.267,1,2,8192,179200
2026-08-15,mysql,startup-8,azure-eastus2,0.267,1,2,8192,179200
2026-08-15,mysql,startup-8,azure-westeurope,0.308,1,2,8192,179200
2026-08-15,mysql,startup-8,do-nyc,0.199,1,4,8192,179200
2026-08-15,mysql,startup-8,google-europe-west1,0.205,1,2,8192,179200
2026-08-15,mysql,startup-8,google-europe-west10,0.42466,1,2,8192,179200
2026-08-15,mysql,startup-8,google-europe-west12,0.26712,1,2,8192,179200
2026-08-15,mysql,startup-8,google-us-east4,0.226,1,2,8192,179200
2026-08-15,pg,business-16,aws-eu-west-1,1.000,2,2,15616,358400
2026-08-15,pg,business-16,aws-us-east-1,0.973,2,2,15616,358400
2026-08-15,pg,business-16,azure-eastus,1.438,2,4,16384,358400
2026-08-15,pg,business-16,azure-eastus2,1.438,2,4,16384,358400
2026-08-15,pg,business-16,azure-westeurope,1.432,2,4,16384,358400
2026-08-15,pg,business-16,do-nyc,0.877,2,6,16384,358400
2026-08-15,pg,business-16,google-europe-west1,1.096,2,4,16384,358400
2026-08-15,pg,business-16,google-europe-west10,1.36986,2,4,16384,358400
2026-08-15,pg,business-16,google-europe-west12,1.23288,2,4,16384,358400
2026-08-15,pg,business-16,google-us-east4,1.205,2,4,16384,358400
2026-08-15,pg,business-8,aws-eu-west-1,0.651,2,2,8192,179200
2026-08-15,pg,business-8,aws-us-east-1,0.610,2,2,8192,179200
2026-08-15,pg,business-8,azure-eastus,0.719,2,2,8192,179200
2026-08-15,pg,business-8,azure-eastus2,0.719,2,2,8192,179200
2026-08-15,pg,business-8,azure-westeurope,0.719,2,2,8192,179200
2026-08-15,pg,business-8,do-nyc,0.479,2,4,8192,179200
2026-08-15,pg,business-8,google-europe-west1,0.548,2,2,8192,179200
2026-08-15,pg,business-8,google-europe-west10,0.83562,2,2,8192,179200
2026-08-15,pg,business-8,google-europe-west12,0.61644,2,2,8192,179200
2026-08-15,pg,business-8,google-us-east4,0.603,2,2,8192,179200
2026-08-15,pg,hobbyist,do-nyc,0.016,1,1,1024,8192
2026-08-15,pg,hobbyist,google-europe-west1,0.026,1,1,2048,8192
2026-08-15,pg,hobbyist,google-europe-west10,0.04795,1,1,2048,8192
2026-08-15,pg,hobbyist,google-europe-west12,0.03425,1,1,2048,8192
2026-08-15,pg,hobbyist,google-us-east4,0.034,1,1,2048,8192
2026-08-15,pg,premium-16,aws-eu-west-1,1.562,3,2,15616,358400
2026-08-15,pg,premium-16,aws-us-east-1,1.452,3,2,15616,358400
2026-08-15,pg,premium-16,azure-eastus,2.171,3,4,16384,358400
2026-08-15,pg,premium-16,azure-eastus2,2.171,3,4,16384,358400
2026-08-15,pg,premium-16,azure-westeurope,2.212,3,4,16384,358400
2026-08-15,pg,premium-16,do-nyc,1.315,3,6,16384,358400
2026-08-15,pg,premium-16,google-europe-west1,1.644,3,4,16384,358400
2026-08-15,pg,premium-16,google-europe-west10,2.19178,3,4,16384,358400
2026-08-15,pg,premium-16,google-europe-west12,1.91781,3,4,16384,358400
2026-08-15,pg,premium-16,google-us-east4,1.808,3,4,16384,358400
2026-08-15,pg,premium-8,aws-eu-west-1,1.027,3,2,8192,179200
2026-08-15,pg,premium-8,aws-us-east-1,0.945,3,2,8192,179200
2026-08-15,pg,premium-8,azure-eastus,1.082,3,2,8192,179200
2026-08-15,pg,premium-8,azure-eastus2,1.082,3,2,8192,179200
2026-08-15,pg,premium-8,azure-westeurope,1.116,3,2,8192,179200
2026-08-15,pg,premium-8,do-nyc,0.719,3,4,8192,179200
2026-08-15,pg,premium-8,google-europe-west1,0.822,3,2,8192,179200
2026-08-15,pg,premium-8,google-europe-west10,1.32877,3,2,8192,179200
2026-08-15,pg,premium-8,google-europe-west12,0.97945,3,2,8192,179200
2026-08-15,pg,premium-8,google-us-east4,0.904,3,2,8192,179200
2026-08-15,pg,startup-16,aws-eu-west-1,0.425,1,2,15616,358400
2026-08-15,pg,startup-16,aws-us-east-1,0.425,1,2,15616,358400
2026-08-15,pg,startup-16,azure-eastus,0.541,1,4,16384,358400
2026-08-15,pg,startup-16,azure-eastus2,0.541,1,4,16384,358400
2026-08-15,pg,startup-16,azure-westeurope,0.610,1,4,16384,358400
2026-08-15,pg,startup-16,do-nyc,0.342,1,6,16384,358400
2026-08-15,pg,startup-16,google-europe-west1,0.411,1,4,16384,358400
2026-08-15,pg,startup-16,google-europe-west10,0.60274,1,4,16384,358400
2026-08-15,pg,startup-16,google-europe-west12,0.54110,1,4,16384,358400
2026-08-15,pg,startup-16,google-us-east4,0.452,1,4,16384,358400
2026-08-15,pg,startup-4,aws-eu-west-1,0.151,1,2,4096,81920
2026-08-15,pg,startup-4,aws-us-east-1,0.136,1,2,4096,81920
2026-08-15,pg,startup-4,azure-eastus,0.136,1,1,3584,81920
2026-08-15,pg,startup-4,azure-eastus2,0.136,1,1,3584,81920
2026-08-15,pg,startup-4,azure-westeurope,0.158,1,1,3584,81920
2026-08-15,pg,startup-4,do-nyc,0.103,1,2,4096,81920
2026-08-15,pg,startup-4,google-europe-west1,0.103,1,1,4096,81920
2026-08-15,pg,startup-4,google-europe-west10,0.17808,1,1,4096,81920
2026-08-15,pg,startup-4,google-europe-west12,0.13562,1,1,4096,81920
2026-08-15,pg,startup-4,google-us-east4,0.116,1,1,4096,81920
2026-08-15,pg,startup-8,aws-eu-west-1,0.308,1,2,8192,179200
2026-08-15,pg,startup-8,aws-us-east-1,0.267,1,2,8192,179200
2026-08-15,pg,startup-8,azure-eastus,0.267,1,2,8192,179200
2026-08-15,pg,startup-8,azure-eastus2,0.267,1,2,8192,179200
2026-08-15,pg,startup-8,azure-westeurope,0.308,1,2,8192,179200
2026-08-15,pg,startup-8,do-nyc,0.199,1,4,8192,179200
2026-08-15,pg,startup-8,google-europe-west1,0.205,1,2,8192,179200
2026-08-15,pg,startup-8,google-europe-west10,0.38356,1,2,8192,179200
2026-08-15,pg,startup-8,google-europe-west12,0.26712,1,2,8192,179200
2026-08-15,pg,startup-8,google-us-east4,0.226,1,2,8192,179200
2026-08-15,valkey,business-8,aws-eu-west-1,0.41424658,2,2,7680,0
2026-08-15,valkey,business-8,aws-us-east-1,0.3835616,2,2,7680,0
2026-08-15,valkey,business-8,azure-eastus,0.808,2,2,7680,0
2026-08-15,valkey,business-8,azure-eastus2,0.658,2,2,7680,0
2026-08-15,valkey,business-8,azure-westeurope,0.808,2,2,7680,0
2026-08-15,valkey,business-8,do-nyc,0.301,2,4,7680,0
2026-08-15,valkey,business-8,google-europe-west1,0.548,2,2,7680,0
2026-08-15,valkey,business-8,google-europe-west10,0.91781,2,2,7680,0
2026-08-15,valkey,business-8,google-europe-west12,0.63014,2,2,7680,0
2026-08-15,valkey,business-8,google-us-east4,0.603,2,2,7680,0
2026-08-15,valkey,hobbyist,aws-eu-west-1,0.041,1,2,1024,0
2026-08-15,valkey,hobbyist,aws-us-east-1,0.034,1,2,1024,0
2026-08-15,valkey,hobbyist,do-nyc,0.026,1,1,1024,0
2026-08-15,valkey,hobbyist,google-europe-west1,0.026,1,1,1024,0
2026-08-15,valkey,hobbyist,google-europe-west10,0.05479,1,1,1024,0
2026-08-15,valkey,hobbyist,google-europe-west12,0.03425,1,1,1024,0
2026-08-15,valkey,hobbyist,google-us-east4,0.034,1,1,1024,0
2026-08-15,valkey,premium-8,aws-eu-west-1,0.62136986,3,2,7680,0
2026-08-15,valkey,premium-8,aws-us-east-1,0.5753425,3,2,7680,0
2026-08-15,valkey,premium-8,azure-eastus,1.233,3,2,7680,0
2026-08-15,valkey,premium-8,azure-eastus2,0.849,3,2,7680,0
2026-08-15,valkey,premium-8,azure-westeurope,1.233,3,2,7680,0
2026-08-15,valkey,premium-8,do-nyc,0.548,3,4,7680,0
2026-08-15,valkey,premium-8,google-europe-west1,0.795,3,2,7680,0
2026-08-15,valkey,premium-8,google-europe-west10,1.43836,3,2,7680,0
2026-08-15,valkey,premium-8,google-europe-west12,1.01370,3,2,7680,0
2026-08-15,valkey,premium-8,google-us-east4,0.890,3,2,7680,0
2026-08-15,valkey,startup-2,aws-eu-west-1,0.06164384,1,2,2048,0
2026-08-15,valkey,startup-2,aws-us-east-1,0.05479452,1,2,2048,0
2026-08-15,valkey,startup-2,do-nyc,0.04520548,1,1,2048,0
2026-08-15,valkey,startup-2,google-europe-west1,0.05205479,1,1,2048,0
2026-08-15,valkey,startup-2,google-europe-west10,0.1,1,1,2048,0
2026-08-15,valkey,startup-2,google-europe-west12,0.06849315,1,1,2048,0
2026-08-15,valkey,startup-2,google-us-east4,0.06164384,1,1,2048,0
2026-08-15,valkey,startup-4,aws-eu-west-1,0.10356164,1,2,3840,0
2026-08-15,valkey,startup-4,aws-us-east-1,0.0958904,1,2,3840,0
2026-08-15,valkey,startup-4,azure-eastus,0.171,1,1,3584,0
2026-08-15,valkey,startup-4,azure-eastus2,0.136,1,1,3584,0
2026-08-15,valkey,startup-4,azure-westeurope,0.171,1,1,3584,0
2026-08-15,valkey,startup-4,do-nyc,0.082,1,2,3840,0
2026-08-15,valkey,startup-4,google-europe-west1,0.103,1,1,3840,0
2026-08-15,valkey,startup-4,google-europe-west10,0.19178,1,1,3840,0
2026-08-15,valkey,startup-4,google-europe-west12,0.13562,1,1,3840,0
2026-08-15,valkey,startup-4,google-us-east4,0.116,1,1,3840,0
2026-08-15,valkey,startup-8,aws-eu-west-1,0.20712329,1,2,7680,0
2026-08-15,valkey,startup-8,aws-us-east-1,0.1917808,1,2,7680,0
2026-08-15,valkey,startup-8,azure-eastus,0.342,1,2,7680,0
2026-08-15,valkey,startup-8,azure-eastus2,0.288,1,2,7680,0
2026-08-15,valkey,startup-8,azure-westeurope,0.342,1,2,7680,0
2026-08-15,valkey,startup-8,do-nyc,0.151,1,4,7680,0
2026-08-15,valkey,startup-8,google-europe-west1,0.205,1,2,7680,0
2026-08-15,valkey,startup-8,google-europe-west10,0.45205,1,2,7680,0
2026-08-15,valkey,startup-8,google-europe-west12,0.26027,1,2,7680,0
2026-08-15,valkey,startup-8,google-us-east4,0.226,1,2,7680,0
2026-08-16,kafka,business-16,aws-eu-west-1,3.836,3,4,16384,2457600
2026-08-16,kafka,business-16,aws-us-east-1,3.425,3,4,16384,2457600
2026-08-16,kafka,business-16,azure-eastus,3.425,3,4,16384,2457600
2026-08-16,kafka,business-16,azure-eastus2,2.877,3,4,16384,2457600
2026-08-16,kafka,business-16,azure-westeurope,3.836,3,4,16384,2457600
2026-08-16,kafka,business-16,do-nyc,2.603,3,8,16384,2457600
2026-08-16,kafka,business-16,google-europe-west1,2.603,3,4,16384,2457600
2026-08-16,kafka,business-16,google-europe-west10,6.16438,3,4,16384,2457600
2026-08-16,kafka,business-16,google-europe-west12,3.42466,3,4,16384,2457600
2026-08-16,kafka,business-16,google-us-east4,2.877,3,4,16384,2457600
2026-08-16,kafka,business-8,aws-eu-west-1,1.986,3,2,8192,1228800
2026-08-16,kafka,business-8,aws-us-east-1,1.781,3,2,8192,1228800
2026-08-16,kafka,business-8,azure-eastus,1.781,3,2,8192,1228800
2026-08-16,kafka,business-8,azure-eastus2,1.507,3,2,8192,1228800
2026-08-16,kafka,business-8,azure-westeurope,1.986,3,2,8192,1228800
2026-08-16,kafka,business-8,do-nyc,1.370,3,4,8192,1228800
2026-08-16,kafka,business-8,google-europe-west1,1.370,3,2,8192,1228800
2026-08-16,kafka,business-8,google-europe-west10,3.15068,3,2,8192,1228800
2026-08-16,kafka,business-8,google-europe-west12,1.78082,3,2,8192,1228800
2026-08-16,kafka,business-8,google-us-east4,1.507,3,2,8192,1228800
2026-08-16,kafka,startup-2,aws-eu-west-1,0.397,3,2,2048,92160
2026-08-16,kafka,startup-2,aws-us-east-1,0.363,3,2,2048,92160
2026-08-16,kafka,startup-2,azure-eastus,0.295,3,1,2048,92160
2026-08-16,kafka,startup-2,azure-eastus2,0.274,3,1,2048,92160
2026-08-16,kafka,startup-2,azure-westeurope,0.295,3,1,2048,92160
2026-08-16,kafka,startup-2,do-nyc,0.274,3,2,2048,92160
2026-08-16,kafka,startup-2,google-europe-west1,0.274,3,1,2048,92160
2026-08-16,kafka,startup-2,google-europe-west10,0.50685,3,1,2048,92160
2026-08-16,kafka,startup-2,google-europe-west12,0.36301,3,1,2048,92160
2026-08-16,kafka,startup-2,google-us-east4,0.301,3,1,2048,92160
2026-08-16,kafka,startup-4,aws-eu-west-1,0.397,3,2,4096,92160
2026-08-16,kafka,startup-4,aws-us-east-1,0.363,3,2,4096,92160
2026-08-16,kafka,startup-4,azure-eastus,0.295,3,1,3584,92160
2026-08-16,kafka,startup-4,azure-eastus2,0.274,3,1,3584,92160
2026-08-16,kafka,startup-4,azure-westeurope,0.295,3,1,3584,92160
2026-08-16,kafka,startup-4,do-nyc,0.274,3,2,4096,92160
2026-08-16,kafka,startup-4,google-europe-west1,0.274,3,1,4096,92160
2026-08-16,kafka,startup-4,google-europe-west10,0.50685,3,1,4096,92160
2026-08-16,kafka,startup-4,google-europe-west12,0.36301,3,1,4096,92160
2026-08-16,kafka,startup-4,google-us-east4,0.301,3,1,4096,92160
2026-08-16,mysql,business-16,aws-eu-west-1,1.000,2,4,16384,358400
2026-08-16,mysql,business-16,aws-us-east-1,0.973,2,4,16384,358400
2026-08-16,mysql,business-16,azure-eastus,1.438,2,4,16384,358400
2026-08-16,mysql,business-16,azure-eastus2,1.438,2,4,16384,358400
2026-08-16,mysql,business-16,azure-westeurope,1.432,2,4,16384,358400
2026-08-16,mysql,business-16,do-nyc,0.877,2,6,16384,358400
2026-08-16,mysql,business-16,google-europe-west1,1.096,2,4,16384,358400
2026-08-16,mysql,business-16,google-europe-west10,1.57534,2,4,16384,358400
2026-08-16,mysql,business-16,google-europe-west12,1.23288,2,4,16384,358400
2026-08-16,mysql,business-16,google-us-east4,1.205,2,4,16384,358400
2026-08-16,mysql,business-8,aws-eu-west-1,0.651,2,2,8192,179200
2026-08-16,mysql,business-8,aws-us-east-1,0.610,2,2,8192,179200
2026-08-16,mysql,business-8,azure-eastus,0.719,2,2,8192,179200
2026-08-16,mysql,business-8,azure-eastus2,0.719,2,2,8192,179200
2026-08-16,mysql,business-8,azure-westeurope,0.719,2,2,8192,179200
2026-08-16,mysql,business-8,do-nyc,0.479,2,4,8192,179200
2026-08-16,mysql,business-8,google-europe-west1,0.548,2,2,8192,179200
2026-08-16,mysql,business-8,google-europe-west10,0.97260,2,2,8192,179200
2026-08-16,mysql,business-8,google-europe-west12,0.61644,2,2,8192,179200
2026-08-16,mysql,business-8,google-us-east4,0.603,2,2,8192,179200
2026-08-16,mysql,hobbyist,do-nyc,0.026,1,1,1024,8192
2026-08-16,mysql,hobbyist,google-europe-west1,0.026,1,1,2048,8192
2026-08-16,mysql,hobbyist,google-europe-west10,0.04795,1,1,2048,8192
2026-08-16,mysql,hobbyist,google-europe-west12,0.03425,1,1,2048,8192
2026-08-16,mysql,hobbyist,google-us-east4,0.034,1,1,2048,8192
2026-08-16,mysql,premium-16,aws-eu-west-1,1.562,3,4,16384,358400
2026-08-16,mysql,premium-16,aws-us-east-1,1.452,3,4,16384,358400
2026-08-16,mysql,premium-16,azure-eastus,2.171,3,4,16384,358400
2026-08-16,mysql,premium-16,azure-eastus2,2.171,3,4,16384,358400
2026-08-16,mysql,premium-16,azure-westeurope,2.212,3,4,16384,358400
2026-08-16,mysql,premium-16,do-nyc,1.315,3,6,16384,358400
2026-08-16,mysql,premium-16,google-europe-west1,1.644,3,4,16384,358400
2026-08-16,mysql,premium-16,google-europe-west10,2.60274,3,4,16384,358400
2026-08-16,mysql,premium-16,google-europe-west12,1.91781,3,4,16384,358400
2026-08-16,mysql,premium-16,google-us-east4,1.808,3,4,16384,358400
2026-08-16,mysql,premium-8,aws-eu-west-1,1.027,3,2,8192,179200
2026-08-16,mysql,premium-8,aws-us-east-1,0.945,3,2,8192,179200
2026-08-16,mysql,premium-8,azure-eastus,1.082,3,2,8192,179200
2026-08-16,mysql,premium-8,azure-eastus2,1.082,3,2,8192,179200
2026-08-16,mysql,premium-8,azure-westeurope,1.116,3,2,8192,179200
2026-08-16,mysql,premium-8,do-nyc,0.719,3,4,8192,179200
2026-08-16,mysql,premium-8,google-europe-west1,0.822,3,2,8192,179200
2026-08-16,mysql,premium-8,google-europe-west10,1.57534,3,2,8192,179200
2026-08-16,mysql,premium-8,google-europe-west12,0.97945,3,2,8192,179200
2026-08-16,mysql,premium-8,google-us-east4,0.904,3,2,8192,179200
2026-08-16,mysql,startup-16,aws-eu-west-1,0.425,1,4,16384,358400
2026-08-16,mysql,startup-16,aws-us-east-1,0.425,1,4,16384,358400
2026-08-16,mysql,startup-16,azure-eastus,0.541,1,4,16384,358400
2026-08-16,mysql,startup-16,azure-eastus2,0.541,1,4,16384,358400
2026-08-16,mysql,startup-16,azure-westeurope,0.610,1,4,16384,358400
2026-08-16,mysql,startup-16,do-nyc,0.342,1,6,16384,358400
2026-08-16,mysql,startup-16,google-europe-west1,0.411,1,4,16384,358400
2026-08-16,mysql,startup-16,google-europe-west10,0.67123,1,4,16384,358400
2026-08-16,mysql,startup-16,google-europe-west12,0.54110,1,4,16384,358400
2026-08-16,mysql,startup-16,google-us-east4,0.452,1,4,16384,358400
2026-08-16,mysql,startup-4,aws-eu-west-1,0.151,1,2,4096,81920
2026-08-16,mysql,startup-4,aws-us-east-1,0.136,1,2,4096,81920
2026-08-16,mysql,startup-4,azure-eastus,0.136,1,1,3584,81920
2026-08-16,mysql,startup-4,azure-eastus2,0.136,1,1,3584,81920
2026-08-16,mysql,startup-4,azure-westeurope,0.158,1,1,3584,81920
2026-08-16,mysql,startup-4,do-nyc,0.103,1,2,4096,81920
2026-08-16,mysql,startup-4,google-europe-west1,0.103,1,1,4096,81920
2026-08-16,mysql,startup-4,google-europe-west10,0.19178,1,1,4096,81920
2026-08-16,mysql,startup-4,google-europe-west12,0.13562,1,1,4096,81920
2026-08-16,mysql,startup-4,google-us-east4,0.116,1,1,4096,81920
2026-08-16,mysql,startup-8,aws-eu-west-1,0.308,1,2,8192,179200
2026-08-16,mysql,startup-8,aws-us-east-1,0.267,1,2,8192,179200
2026-08-16,mysql,startup-8,azure-eastus,0.267,1,2,8192,179200
2026-08-16,mysql,startup-8,azure-eastus2,0.267,1,2,8192,179200
2026-08-16,mysql,startup-8,azure-westeurope,0.308,1,2,8192,179200
2026-08-16,mysql,startup-8,do-nyc,0.199,1,4,8192,179200
2026-08-16,mysql,startup-8,google-europe-west1,0.205,1,2,8192,179200
2026-08-16,mysql,startup-8,google-europe-west10,0.42466,1,2,8192,179200
2026-08-16,mysql,startup-8,google-europe-west12,0.26712,1,2,8192,179200
2026-08-16,mysql,startup-8,google-us-east4,0.226,1,2,8192,179200
2026-08-16,pg,business-16,aws-eu-west-1,1.000,2,2,15616,358400
2026-08-16,pg,business-16,aws-us-east-1,0.973,2,2,15616,358400
2026-08-16,pg,business-16,azure-eastus,1.438,2,4,16384,358400
2026-08-16,pg,business-16,azure-eastus2,1.438,2,4,16384,358400
2026-08-16,pg,business-16,azure-westeurope,1.432,2,4,16384,358400
2026-08-16,pg,business-16,do-nyc,0.877,2,6,16384,358400
2026-08-16,pg,business-16,google-europe-west1,1.096,2,4,16384,358400
2026-08-16,pg,business-16,google-europe-west10,1.36986,2,4,16384,358400
2026-08-16,pg,business-16,google-europe-west12,1.23288,2,4,16384,358400
2026-08-16,pg,business-16,google-us-east4,1.205,2,4,16384,358400
2026-08-16,pg,business-8,aws-eu-west-1,0.651,2,2,8192,179200
